流水號,名稱,維基集數,ESFIO,無文字版本,imgur,i.imgur
SS0001,你為什麼不問問神奇海螺呢,42-A,S3E03,,https://imgur.com/Cx3CAEv,https://i.imgur.com/Cx3CAEv.jpg
SS0002,你現在是在懷疑神奇海螺的神奇魔力嗎,42-A,S3E03,,https://imgur.com/Y9x4jf0,https://i.imgur.com/Y9x4jf0.jpg
SS0003,怎麼可能會有人說出這句沒有意義的話呢,43-A,S3E05,,https://imgur.com/b3urbIF,https://i.imgur.com/b3urbIF.jpg
SS0004,派欸,24-A,S2E07,,https://imgur.com/K7FCP4i,https://i.imgur.com/K7FCP4i.jpg
SS0005,今天很嗆是吧,06-B,S1E13,,https://imgur.com/2BBHiBW,https://i.imgur.com/2BBHiBW.jpg
SS0006,這只是一幅畫像 不是真的人,07-A,S1E14,,https://imgur.com/2LjjOpf,https://i.imgur.com/2LjjOpf.jpg
SS0007,看到沒有 這可是門科學,08-A,S1E16,,https://imgur.com/ZGnbnfP,https://i.imgur.com/ZGnbnfP.jpg
SS0008,你什麼時候才要離開你的幻想小世界啊,33-A,S2E24,,https://imgur.com/AcxpwM4,https://i.imgur.com/AcxpwM4.jpg
SS0009,先生 沒有那種東西,06-B,S1E13,,https://imgur.com/LTMTlj8,https://i.imgur.com/LTMTlj8.jpg
SS0010,你還不懂嗎你這甲殼類大頭呆,06-B,S1E13,,https://imgur.com/5e6WvL5,https://i.imgur.com/5e6WvL5.jpg
SS0011,難道說我的表情還不夠確定嗎,43-A,S3E05,,https://imgur.com/JDV6Ucm,https://i.imgur.com/JDV6Ucm.jpg
SS0012,你真的很臭,11-A,S1E22,,https://imgur.com/K5JafDf,https://i.imgur.com/K5JafDf.jpg
SS0013,小朋友 發動你的引擎,16-B,S1E33,,https://imgur.com/1MKW1X9,https://i.imgur.com/1MKW1X9.jpg
SS0014,好了 尖頭 給我納命來,29-A,S2E16,,https://imgur.com/XUH3OBj,https://i.imgur.com/XUH3OBj.jpg
SS0015,你叫誰尖頭啊,29-A,S2E16,,https://imgur.com/pB9HcMR,https://i.imgur.com/pB9HcMR.jpg
SS0016,芝麻開門,29-A,S2E16,,https://imgur.com/gvw7pzx,https://i.imgur.com/gvw7pzx.jpg
SS0017,沒關係 你慢慢想,26-B,S2E12,,https://imgur.com/YFjtifd,https://i.imgur.com/YFjtifd.jpg
SS0018,誰會想在凌晨三點吃美味蟹堡,36-A,S2E30,,https://imgur.com/c0HCirP,https://i.imgur.com/c0HCirP.jpg
SS0019,好棒 三點了,36-A,S2E30,,https://imgur.com/EGO35hf,https://i.imgur.com/EGO35hf.jpg
SS0020,我...我要去檢舉你,27-B,S2E14,,https://imgur.com/SeRluIZ,https://i.imgur.com/SeRluIZ.jpg
SS0021,你太可悲了,29-B,S2E17,,https://imgur.com/nc2RQbt,https://i.imgur.com/nc2RQbt.jpg
SS0022,請你面對事實 這樣只會傷害你自己,29-B,S2E17,,https://imgur.com/3tc20nJ,https://i.imgur.com/3tc20nJ.jpg
SS0023,我還以為你喜歡的是我,29-B,S2E17,,https://imgur.com/pD4HtVQ,https://i.imgur.com/pD4HtVQ.jpg
SS0024,不是 我是派大星,23-A,S2E05,,https://imgur.com/IfZNiTF,https://i.imgur.com/IfZNiTF.jpg
SS0025,不是啦 我是派大星,23-A,S2E05,,https://imgur.com/df2mVT1,https://i.imgur.com/df2mVT1.jpg
SS0026,老弟 你是負責搞笑的是嗎,23-A,S2E05,,https://imgur.com/C1ZMtOH,https://i.imgur.com/C1ZMtOH.jpg
SS0027,再繞到她後面 我來下手,26-A,S2E11,,https://imgur.com/W8fU2We,https://i.imgur.com/W8fU2We.jpg
SS0028,真的好想好想要,27-B,S2E14,,https://imgur.com/MWyivWc,https://i.imgur.com/MWyivWc.jpg
SS0029,你拿你的臭嘴去親你老媽啦,38-A,S2E34,,https://imgur.com/naecMK7,https://i.imgur.com/naecMK7.jpg
SS0030,我要去舔大理石,38-B,S2E35,,https://imgur.com/OBrMPNK,https://i.imgur.com/OBrMPNK.jpg
SS0031,我要變成大理石,38-B,S2E35,,https://imgur.com/OYFgXuO,https://i.imgur.com/OYFgXuO.jpg
SS0032,我會為海膽踩煞車,05-A,S1E10,,https://imgur.com/9MVJ5gb,https://i.imgur.com/9MVJ5gb.jpg
SS0033,而且一小時只有50塊錢耶,23-A,S2E05,,https://imgur.com/NowFFuM,https://i.imgur.com/NowFFuM.jpg
SS0034,好奇怪 那不是我的名字,23-A,S2E05,,https://imgur.com/qctuXpW,https://i.imgur.com/qctuXpW.jpg
SS0035,講話大聲的人就會很有力量,35-B,S2E29,,https://imgur.com/KyhXsM7,https://i.imgur.com/KyhXsM7.jpg
SS0036,至少我們還擁有彼此啊,27-B,S2E14,,https://imgur.com/Sd07ARX,https://i.imgur.com/Sd07ARX.jpg
SS0037,課本沒有教耶,38-B,S2E35,,https://imgur.com/SHNGPMk,https://i.imgur.com/SHNGPMk.jpg
SS0038,看樣子我們的史前好朋友剛剛發現了火,54,S3E26,,https://imgur.com/wVg1rGE,https://i.imgur.com/wVg1rGE.jpg
SS0039,我破產了,27-B,S2E14,,https://imgur.com/Hs2g2Wd,https://i.imgur.com/Hs2g2Wd.jpg
SS0040,我需要錢,27-B,S2E14,,https://imgur.com/ZXZW1cM,https://i.imgur.com/ZXZW1cM.jpg
SS0041,我警告你,27-B,S2E14,,https://imgur.com/qWdhTZe,https://i.imgur.com/qWdhTZe.jpg
SS0042,騙子 騙子 你是臭騙子,27-B,S2E14,,https://imgur.com/INiSxA1,https://i.imgur.com/INiSxA1.jpg
SS0043,你偷了我僅有的食物,27-B,S2E14,,https://imgur.com/wf5GO68,https://i.imgur.com/wf5GO68.jpg
SS0044,現在我要餓死了,27-B,S2E14,,https://imgur.com/CNHvEdu,https://i.imgur.com/CNHvEdu.jpg
SS0045,好可憐哦,48-B,S3E16,,https://imgur.com/bBbq0fp,https://i.imgur.com/bBbq0fp.jpg
SS0046,長官 這個任務可以讓我充滿了希望,48-B,S3E16,,https://imgur.com/DIp9UK8,https://i.imgur.com/DIp9UK8.jpg
SS0047,帽子給我好嗎,48-B,S3E16,,https://imgur.com/qY6lNJ9,https://i.imgur.com/qY6lNJ9.jpg
SS0048,不要跟我頂嘴,48-B,S3E16,,https://imgur.com/MaR1T4V,https://i.imgur.com/MaR1T4V.jpg
SS0049,開胃菜抓狂了,48-B,S3E16,,https://imgur.com/9kKHWWT,https://i.imgur.com/9kKHWWT.jpg
SS0050,我的動機何在,58-A,S3E33,,https://imgur.com/XXF7XVz,https://i.imgur.com/XXF7XVz.jpg
SS0051,好吵喔,23-A,S2E05,,https://imgur.com/8lP73wE,https://i.imgur.com/8lP73wE.jpg
SS0052,不 我弄破了,23-A,S2E05,,https://imgur.com/OGPLryR,https://i.imgur.com/OGPLryR.jpg
SS0053,沒文化的垃圾渣渣,38-B,S2E35,,https://imgur.com/fOT5DvI,https://i.imgur.com/fOT5DvI.jpg
SS0054,派大星啊 你真的好會殺價,46-B,S3E12,,https://imgur.com/pGpXxNH,https://i.imgur.com/pGpXxNH.jpg
SS0055,發財囉,17-A,S1E34,,https://imgur.com/JFwtUC6,https://i.imgur.com/JFwtUC6.jpg
